iter	Passed	Remaining
0	3	3336
1	11	5926
2	13	4411
3	23	5967
4	25	4998
5	30	5093
6	47	6749
7	48	6058
8	49	5502
9	51	5065
10	52	4710
11	53	4416
12	54	4165
13	69	4914
14	81	5330
15	92	5672
16	104	6048
17	127	6969
18	140	7265
19	150	7386
20	161	7546
21	174	7738
22	187	7979
23	197	8029
24	198	7751
25	227	8514
26	238	8609
27	250	8706
28	259	8702
29	271	8771
30	277	8663
31	282	8533
32	288	8460
33	302	8595
34	321	8861
35	332	8895
36	352	9186
37	364	9234
38	376	9279
39	389	9347
40	406	9497
41	434	9920
42	448	9982
43	450	9785
44	462	9825
45	466	9677
46	472	9585
47	486	9645
48	502	9745
49	508	9666
50	528	9842
51	541	9870
52	549	9814
53	561	9829
54	574	9866
55	584	9855
56	592	9797
57	598	9723
58	611	9759
59	619	9712
60	633	9750
61	653	9888
62	667	9922
63	673	9843
64	685	9854
65	689	9757
66	702	9789
67	718	9844
68	729	9849
69	742	9866
70	752	9847
71	757	9760
72	772	9815
73	775	9700
74	776	9573
75	777	9452
76	778	9334
77	779	9218
78	780	9103
79	781	8991
80	785	8913
81	791	8865
82	796	8797
83	797	8697
84	838	9031
85	851	9052
86	859	9015
87	863	8944
88	868	8891
89	869	8796
90	881	8806
91	900	8883
92	917	8945
93	936	9029
94	949	9046
95	960	9044
96	973	9058
97	974	8966
98	975	8876
99	976	8789
100	977	8702
101	979	8620
102	985	8586
103	991	8540
104	1007	8584
105	1021	8611
106	1028	8585
107	1029	8505
108	1030	8427
109	1031	8348
110	1032	8271
111	1050	8329
112	1055	8283
113	1056	8208
114	1057	8135
115	1067	8132
116	1075	8119
117	1076	8049
118	1077	7979
119	1080	7923
120	1081	7856
121	1088	7833
122	1089	7768
123	1090	7705
124	1092	7645
125	1106	7675
126	1114	7663
127	1115	7601
128	1117	7541
129	1117	7481
130	1124	7456
131	1125	7398
132	1126	7341
133	1127	7285
134	1128	7230
135	1129	7175
136	1130	7121
137	1133	7080
138	1134	7028
139	1135	6976
140	1136	6922
141	1137	6872
142	1140	6836
143	1141	6787
144	1142	6739
145	1144	6691
146	1147	6659
147	1148	6611
148	1149	6565
149	1150	6520
150	1155	6495
151	1158	6463
152	1159	6418
153	1160	6376
154	1161	6333
155	1162	6291
156	1166	6261
157	1167	6220
158	1168	6180
159	1173	6161
160	1176	6132
161	1177	6092
162	1178	6052
163	1179	6012
164	1181	5977
165	1184	5952
166	1185	5914
167	1192	5907
168	1202	5913
169	1203	5876
170	1204	5839
171	1205	5803
172	1217	5817
173	1232	5851
174	1233	5814
175	1234	5781
176	1236	5747
177	1239	5722
178	1249	5730
179	1250	5697
180	1251	5663
181	1252	5629
182	1253	5595
183	1254	5563
184	1259	5548
185	1262	5523
186	1263	5493
187	1265	5464
188	1274	5469
189	1280	5459
190	1288	5457
191	1289	5428
192	1291	5399
193	1292	5369
194	1293	5340
195	1303	5347
196	1304	5317
197	1305	5288
198	1306	5258
199	1307	5229
200	1308	5200
201	1311	5179
202	1312	5151
203	1317	5141
204	1319	5116
205	1320	5089
206	1321	5063
207	1329	5062
208	1331	5037
209	1332	5012
210	1337	5002
211	1339	4977
212	1340	4951
213	1341	4925
214	1342	4900
215	1348	4893
216	1348	4867
217	1349	4841
218	1355	4834
219	1359	4818
220	1359	4793
221	1363	4776
222	1370	4775
223	1371	4751
224	1372	4727
225	1378	4719
226	1379	4696
227	1388	4700
228	1390	4681
229	1393	4665
230	1394	4642
231	1395	4619
232	1396	4596
233	1397	4573
234	1398	4551
235	1399	4529
236	1400	4507
237	1400	4484
238	1401	4463
239	1402	4442
240	1404	4421
241	1407	4409
242	1411	4397
243	1412	4376
244	1413	4356
245	1414	4335
246	1415	4315
247	1416	4295
248	1417	4274
249	1418	4254
250	1419	4235
251	1423	4224
252	1424	4205
253	1425	4186
254	1426	4167
255	1430	4156
256	1432	4140
257	1433	4122
258	1434	4103
259	1435	4084
260	1436	4066
261	1443	4067
262	1449	4060
263	1450	4042
264	1458	4044
265	1467	4048
266	1468	4031
267	1470	4015
268	1471	3999
269	1473	3983
270	1475	3968
271	1476	3951
272	1477	3934
273	1478	3918
274	1501	3957
275	1514	3973
276	1516	3957
277	1517	3940
278	1518	3923
279	1519	3906
280	1520	3889
281	1521	3872
282	1522	3856
283	1523	3840
284	1524	3823
285	1525	3807
286	1530	3801
287	1531	3785
288	1532	3769
289	1536	3761
290	1537	3746
291	1538	3730
292	1539	3714
293	1540	3698
294	1541	3682
295	1541	3667
296	1542	3651
297	1543	3636
298	1543	3619
299	1544	3604
300	1545	3589
301	1546	3574
302	1547	3559
303	1548	3545
304	1549	3530
305	1550	3515
306	1551	3501
307	1551	3486
308	1552	3472
309	1553	3457
310	1554	3443
311	1555	3429
312	1555	3414
313	1557	3402
314	1557	3387
315	1558	3373
316	1559	3360
317	1560	3346
318	1561	3333
319	1562	3319
320	1562	3306
321	1563	3292
322	1564	3279
323	1565	3266
324	1566	3252
325	1567	3239
326	1567	3227
327	1568	3214
328	1569	3201
329	1570	3188
330	1571	3175
331	1572	3163
332	1573	3151
333	1574	3139
334	1575	3127
335	1576	3115
336	1577	3103
337	1578	3091
338	1579	3079
339	1580	3067
340	1580	3055
341	1581	3043
342	1582	3031
343	1583	3019
344	1584	3007
345	1585	2995
346	1585	2984
347	1586	2972
348	1587	2961
349	1588	2950
350	1589	2939
351	1590	2927
352	1591	2916
353	1592	2905
354	1592	2894
355	1593	2883
356	1594	2872
357	1595	2861
358	1596	2850
359	1597	2839
360	1597	2827
361	1598	2817
362	1599	2806
363	1600	2795
364	1600	2785
365	1601	2774
366	1602	2764
367	1603	2753
368	1604	2742
369	1604	2732
370	1605	2722
371	1606	2712
372	1607	2702
373	1608	2692
374	1609	2682
375	1610	2672
376	1611	2662
377	1611	2652
378	1612	2642
379	1613	2631
380	1613	2622
381	1614	2612
382	1615	2602
383	1616	2593
384	1617	2583
385	1618	2573
386	1619	2564
387	1619	2555
388	1620	2545
389	1621	2536
390	1622	2527
391	1623	2517
392	1624	2508
393	1625	2499
394	1626	2490
395	1627	2481
396	1628	2473
397	1629	2465
398	1630	2456
399	1631	2447
400	1632	2439
401	1633	2430
402	1635	2422
403	1635	2413
404	1636	2404
405	1637	2396
406	1638	2387
407	1639	2379
408	1640	2370
409	1641	2362
410	1642	2353
411	1643	2345
412	1644	2336
413	1648	2333
414	1649	2325
415	1651	2318
416	1652	2310
417	1653	2302
418	1654	2294
419	1655	2286
420	1656	2278
421	1657	2269
422	1658	2261
423	1659	2254
424	1660	2246
425	1661	2238
426	1662	2231
427	1665	2225
428	1666	2217
429	1667	2210
430	1668	2202
431	1669	2195
432	1670	2188
433	1671	2180
434	1672	2172
435	1673	2165
436	1675	2158
437	1676	2151
438	1677	2143
439	1678	2136
440	1680	2129
441	1680	2121
442	1681	2114
443	1682	2106
444	1683	2099
445	1683	2091
446	1684	2084
447	1685	2076
448	1686	2069
449	1687	2062
450	1688	2054
451	1691	2051
452	1693	2044
453	1694	2037
454	1695	2030
455	1696	2023
456	1696	2016
457	1697	2009
458	1698	2002
459	1699	1995
460	1702	1990
461	1706	1987
462	1707	1980
463	1708	1973
464	1720	1978
465	1721	1972
466	1722	1966
467	1723	1959
468	1724	1952
469	1725	1946
470	1728	1941
471	1732	1938
472	1733	1931
473	1734	1925
474	1736	1919
475	1745	1921
476	1750	1919
477	1751	1912
478	1752	1906
479	1753	1899
480	1754	1893
481	1756	1887
482	1757	1880
483	1757	1874
484	1758	1867
485	1759	1861
486	1760	1854
487	1761	1848
488	1762	1842
489	1763	1835
490	1764	1829
491	1765	1823
492	1766	1816
493	1767	1810
494	1768	1804
495	1769	1797
496	1770	1791
497	1771	1785
498	1772	1779
499	1773	1773
500	1775	1768
501	1784	1770
502	1786	1764
503	1787	1758
504	1788	1752
505	1789	1746
506	1790	1740
507	1791	1734
508	1792	1728
509	1803	1732
510	1804	1727
511	1805	1721
512	1807	1715
513	1808	1709
514	1809	1703
515	1810	1698
516	1811	1692
517	1812	1686
518	1814	1681
519	1815	1675
520	1816	1670
521	1818	1665
522	1819	1659
523	1821	1654
524	1822	1649
525	1835	1653
526	1842	1653
527	1843	1648
528	1859	1655
529	1863	1652
530	1865	1647
531	1867	1642
532	1868	1636
533	1869	1631
534	1870	1625
535	1871	1620
536	1872	1614
537	1873	1608
538	1886	1613
539	1887	1608
540	1893	1606
541	1899	1605
542	1901	1600
543	1902	1594
544	1903	1589
545	1911	1589
546	1912	1583
547	1926	1589
548	1936	1590
549	1937	1585
550	1938	1579
551	1939	1573
552	1943	1571
553	1944	1565
554	1950	1564
555	1952	1559
556	1953	1553
557	1954	1548
558	1955	1542
559	1964	1543
560	1968	1540
561	1969	1535
562	1970	1529
563	1974	1526
564	1975	1521
565	1976	1515
566	1977	1510
567	1978	1505
568	1979	1499
569	1989	1501
570	1991	1495
571	1992	1490
572	1993	1485
573	1994	1479
574	1995	1474
575	1996	1469
576	1997	1464
577	1998	1458
578	1999	1453
579	2000	1448
580	2003	1445
581	2005	1440
582	2006	1435
583	2007	1429
584	2008	1424
585	2009	1419
586	2010	1414
587	2011	1409
588	2011	1403
589	2012	1398
590	2013	1393
591	2014	1388
592	2015	1383
593	2016	1378
594	2036	1386
595	2037	1381
596	2040	1377
597	2041	1372
598	2042	1367
599	2049	1366
600	2050	1361
601	2051	1356
602	2056	1353
603	2057	1348
604	2059	1344
605	2060	1339
606	2061	1334
607	2061	1329
608	2062	1324
609	2063	1319
610	2064	1314
611	2065	1309
612	2067	1305
613	2068	1300
614	2069	1295
615	2070	1290
616	2071	1285
617	2072	1281
618	2073	1276
619	2074	1271
620	2074	1266
621	2075	1261
622	2077	1256
623	2077	1252
624	2078	1247
625	2079	1242
626	2081	1238
627	2082	1233
628	2082	1228
629	2083	1223
630	2084	1219
631	2085	1214
632	2086	1209
633	2087	1204
634	2087	1200
635	2088	1195
636	2089	1190
637	2090	1186
638	2091	1181
639	2092	1176
640	2092	1172
641	2093	1167
642	2094	1162
643	2095	1158
644	2095	1153
645	2096	1149
646	2097	1144
647	2098	1139
648	2099	1135
649	2100	1130
650	2100	1126
651	2101	1121
652	2102	1117
653	2104	1113
654	2104	1108
655	2105	1104
656	2106	1099
657	2107	1095
658	2108	1090
659	2109	1086
660	2109	1082
661	2111	1078
662	2112	1073
663	2113	1069
664	2114	1065
665	2115	1061
666	2117	1056
667	2118	1052
668	2119	1048
669	2120	1044
670	2121	1040
671	2122	1036
672	2123	1031
673	2124	1027
674	2129	1025
675	2130	1021
676	2131	1016
677	2132	1012
678	2133	1008
679	2134	1004
680	2134	1000
681	2135	995
682	2136	991
683	2137	987
684	2138	983
685	2139	979
686	2140	975
687	2141	971
688	2142	967
689	2143	962
690	2144	958
691	2145	954
692	2146	950
693	2146	946
694	2147	942
695	2148	938
696	2149	934
697	2150	930
698	2151	926
699	2151	922
700	2152	918
701	2153	914
702	2154	910
703	2155	906
704	2156	902
705	2157	898
706	2158	894
707	2159	890
708	2159	886
709	2160	882
710	2161	878
711	2162	874
712	2163	870
713	2164	866
714	2164	862
715	2165	859
716	2166	855
717	2167	851
718	2168	847
719	2169	843
720	2170	839
721	2171	836
722	2172	832
723	2172	828
724	2173	824
725	2174	820
726	2175	816
727	2175	812
728	2176	809
729	2177	805
730	2178	801
731	2179	797
732	2179	794
733	2180	790
734	2181	786
735	2182	782
736	2183	779
737	2185	775
738	2188	772
739	2189	769
740	2190	765
741	2191	761
742	2192	758
743	2193	754
744	2193	750
745	2194	747
746	2195	743
747	2196	739
748	2196	736
749	2197	732
750	2198	729
751	2200	725
752	2201	722
753	2202	718
754	2203	714
755	2204	711
756	2205	708
757	2206	704
758	2207	701
759	2208	697
760	2210	694
761	2211	690
762	2212	687
763	2217	685
764	2219	681
765	2220	678
766	2221	674
767	2221	671
768	2222	667
769	2223	664
770	2224	660
771	2225	657
772	2226	653
773	2226	650
774	2227	646
775	2229	643
776	2231	640
777	2232	636
778	2233	633
779	2234	630
780	2235	626
781	2236	623
782	2237	619
783	2239	616
784	2240	613
785	2240	610
786	2241	606
787	2242	603
788	2246	600
789	2247	597
790	2252	595
791	2253	591
792	2254	588
793	2255	585
794	2255	581
795	2256	578
796	2257	575
797	2260	572
798	2261	568
799	2262	565
800	2263	562
801	2264	559
802	2265	555
803	2266	552
804	2267	549
805	2268	545
806	2268	542
807	2269	539
808	2270	536
809	2271	532
810	2272	529
811	2273	526
812	2274	523
813	2275	519
814	2276	516
815	2276	513
816	2277	510
817	2278	506
818	2279	503
819	2280	500
820	2281	497
821	2282	494
822	2282	490
823	2283	487
824	2284	484
825	2285	481
826	2286	478
827	2286	475
828	2287	471
829	2288	468
830	2289	465
831	2290	462
832	2291	459
833	2292	456
834	2293	453
835	2294	450
836	2295	446
837	2295	443
838	2296	440
839	2297	437
840	2297	434
841	2298	431
842	2299	428
843	2300	425
844	2301	422
845	2302	419
846	2303	416
847	2304	413
848	2304	409
849	2305	406
850	2306	403
851	2307	400
852	2308	397
853	2309	394
854	2309	391
855	2310	388
856	2311	385
857	2312	382
858	2313	379
859	2314	376
860	2314	373
861	2315	370
862	2316	367
863	2318	364
864	2319	361
865	2320	359
866	2321	356
867	2321	353
868	2322	350
869	2323	347
870	2324	344
871	2325	341
872	2325	338
873	2326	335
874	2327	332
875	2328	329
876	2329	326
877	2330	323
878	2332	321
879	2333	318
880	2333	315
881	2334	312
882	2335	309
883	2336	306
884	2337	303
885	2338	300
886	2339	297
887	2339	295
888	2340	292
889	2341	289
890	2342	286
891	2343	283
892	2344	280
893	2344	278
894	2345	275
895	2346	272
896	2347	269
897	2348	266
898	2349	263
899	2350	261
900	2351	258
901	2352	255
902	2353	252
903	2354	250
904	2354	247
905	2355	244
906	2356	241
907	2357	238
908	2358	236
909	2359	233
910	2360	230
911	2360	227
912	2361	225
913	2362	222
914	2364	219
915	2365	216
916	2366	214
917	2367	211
918	2369	208
919	2370	206
920	2370	203
921	2371	200
922	2372	197
923	2373	195
924	2374	192
925	2374	189
926	2375	187
927	2380	184
928	2381	182
929	2382	179
930	2383	176
931	2385	174
932	2386	171
933	2387	168
934	2388	166
935	2389	163
936	2391	160
937	2392	158
938	2393	155
939	2394	152
940	2395	150
941	2396	147
942	2396	144
943	2397	142
944	2398	139
945	2399	136
946	2400	134
947	2401	131
948	2401	129
949	2402	126
950	2403	123
951	2404	121
952	2407	118
953	2409	116
954	2410	113
955	2410	110
956	2411	108
957	2412	105
958	2413	103
959	2414	100
960	2415	98
961	2416	95
962	2417	92
963	2418	90
964	2418	87
965	2419	85
966	2420	82
967	2421	80
968	2422	77
969	2423	74
970	2424	72
971	2425	69
972	2426	67
973	2426	64
974	2427	62
975	2428	59
976	2429	57
977	2430	54
978	2431	52
979	2431	49
980	2432	47
981	2433	44
982	2434	42
983	2435	39
984	2436	37
985	2437	34
986	2438	32
987	2438	29
988	2439	27
989	2440	24
990	2441	22
991	2442	19
992	2443	17
993	2444	14
994	2444	12
995	2445	9
996	2446	7
997	2447	4
998	2448	2
999	2449	0
